id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
3754,6,4814,MEJORA TRaNSITO PEATONAL EN LA CALLE NAVARRA,3,Extramurs,Representante GT,0.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,3,Extramurs,matched
3775,6,4835,Instalar farolas con luces LED en la C/ Huerto de San Valero,10,Quatre Carreres,Particular,17.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
3794,6,4854,Rehabilitacion de las Casetas de la Aduana de Mercancias,6,el Pla del Real,Particular,33.0,SI,SI,50.0,NO,197000.0,No aplicable,2023-04-27,,6,el Pla del Real,matched
3858,6,4919,Fuentes agua potable refrigerada,16,Benicalap,Particular,39.0,SI,SI,341.0,SI,37500.0,No aplicable,2023-04-27,,16,Benicalap,matched
1018,2,399,VIA VERDA DEL FORN D´ALCEDO A SEDAVI. PRIMERA FASE: ACCESSOS URBANS.,19,Pobles del Sud,Representante GT,4.0,SI,SI,487.0,SI,39000.0,No aplicable,2023-04-27,,19,Pobles del Sud,matched
1112,2,493,Construccion de un Parque Canino en el Barrio de Campanar,4,Campanar,Representante GT,9.0,SI,SI,116.0,NO,88160.0,No aplicable,2023-04-27,,4,Campanar,matched
1230,3,1020,ACCESIBILIDAD PASO INFERIOR TORRES DE QUART Y TORRES DE SERRANOS.,Toda la ciudad,Toda la ciudad,Particular,35.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
1267,3,1059,CUBRIR LA PISCINA DEL POLIDEPORTIVO DE BENIMACLET Y ADECUAR SU USO PERENNE,Toda la ciudad,Toda la ciudad,Particular,294.0,SI,SI,1008.0,NO,1000000.0,No aplicable,2023-04-27,,0,Toda la ciudad,global
1322,3,1115,"DISMINUCIoN DE LA ASFALTIZACIoN DE LA CIUDAD (EN ZONAS VERDES, JARDINES ETC.)",Toda la ciudad,Toda la ciudad,Particular,4.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
1348,3,1141,"TuNEL CONEXIoN GRANDES ViAS, CONTROL VELOCIDAD",Toda la ciudad,Toda la ciudad,Particular,1.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
1473,3,1266,CREACIoN DE UN CENTRO MUNICIPAL MULTIUSOS EN BENIMaMET,Toda la ciudad,Toda la ciudad,Particular,148.0,SI,SI,439.0,NO,1700000.0,No aplicable,2023-04-27,,0,Toda la ciudad,global
1547,3,1341,REFORMAR EL CENTRE ARQUEOLoGIC DE L'ALMOINA,Toda la ciudad,Toda la ciudad,Particular,28.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
1711,3,1507,COMPLETAR PAVIMENTAT PARC INFANTIL CARRER JOSE MARiA DE HARO,Toda la ciudad,Toda la ciudad,Particular,1.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
1780,4,2009,PROLONGACIoN CAMINO CICLOPEATONAL INACABADO DE MAHUELLA A ALBALAT,17,5,Particular,23.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,17,Pobles del Nord,matched
1904,4,2133,BIBLIOTECA SAN ISIDRE,8,Patraix,Particular,43.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
1965,4,2194,ZONA NARANJA RUZAFA CON APLICACIoN MOVIL COLABORATIVA QUE GESTIONE SUS PLAZAS,2,l'Eixample,Representante GT,0.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,2,l'Eixample,matched
2115,4,2344,CARRIL BICI C/ JESuS,9,Jesus,Particular,45.0,SI,SI,293.0,SI,120000.0,No aplicable,2023-04-27,,9,Jesús,matched
2119,4,2348,CIRCUITO CROSS (ATLETISMO) Y CICLOCROSS,19,7,Particular,36.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,19,Pobles del Sud,matched
2232,4,2461,"ASFALTADO CALLES ""ANGUILERA"" Y ""HISTORIADOR BETi""",19,4,Representante GT,0.0,SI,SI,40.0,NO,30117.0,No aplicable,2023-04-27,,19,Pobles del Sud,matched
2384,5,3072,Peatonalizar y revitalizar el entono del Mercat de Jerusalem,Toda la ciudad,Toda la ciudad,Particular,19.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2435,5,3123,Crear carril bici en acera puente Aragon donde no hay,Toda la ciudad,Toda la ciudad,Particular,13.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2501,5,3189,Reordenacion aceras y calzada + arbolado en c/ Doctor Oloriz y c/ Fabian y Fuero,Toda la ciudad,Toda la ciudad,Particular,17.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2554,5,3242,Carril ciclo-peatonal cap a VLC per Castellar-l´Oliveral,Toda la ciudad,Toda la ciudad,Particular,144.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2626,5,3314,HUMANIZAR LA AVENIDA DOCTOR PESET ALEIXANDRE,Toda la ciudad,Toda la ciudad,Particular,26.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
